lactate_abg,ph_abg,hco3_abg,temp_c,temp_nc,urea,creatinine,sodium,k,hb,wbc,neutrophil,platelets,crp,chemo,chronic_rrt,metastatic,radiotx,apache,medical,system,height,weight,elective_surgical,arrival_dttm,discharge_dttm,dob,vital_status,sex,nhs_number,age_years,los,bmi,gender
2.2,7.13,16,34.4,35.6,35.4,410,154,5,87,10.9,9.48,253,422,1,0,1,0,64,1,1,1.7,70,0,2014-01-13T06:52:59Z,2014-01-25T06:52:59Z,1944-01-13,D,M,4635156559,70,12,242214.5328719723,M
3.1,7.32,24.3,36.2,37.8,17.9,231,142,3.5,115,18.5,16.2,173,286,0,0,0,0,22,1,3,1.7,80,0,2014-01-13T17:17:33Z,2014-01-20T17:17:33Z,1944-01-13,A,M,9565479855,70,7,276816.6089965398,M
10.5,7.31,21.1,38.1,36.7,19.4,249,142,5.1,90,20.2,16.8,96,237,0,0,0,0,21,1,3,1.75,85,0,2014-01-14T05:37:04Z,2014-01-20T05:37:04Z,1934-01-14,A,M,3877512852,80,6,277551.0204081632,M
0.9,7.39,27.1,35.9,37.7,10.1,66,138,4.3,107,6.7,4.1,221,370.7,0,0,0,0,15,0,7,1.6,130,1,2014-01-15T00:47:10Z,2014-01-16T00:47:10Z,1934-01-15,A,F,2612521976,80,1,507812.5,F
0.7,7.32,34.6,36.1,36.3,12.1,159,139,4.7,71,5.4,4.63,190,251,0,0,0,0,11,1,8,1.7,75,0,2014-01-15T20:15:15Z,2014-02-01T20:15:15Z,1954-01-15,A,M,9465336939,60,17,259515.57093425601,M
0.7,7.45,30.3,36.4,37.3,7.8,89,152,4.9,99,16,14.01,329,11,0,0,0,0,7,0,3,1.8,105,0,2014-01-15T16:06:51Z,2014-01-17T16:06:51Z,1944-01-15,A,F,8312295836,70,2,324074.074074074,F
1.6,7.46,26.3,35.4,35.8,5,40,142,4.7,92,2.5,1.8,112,2,1,0,0,1,17,1,2,1.5,55,0,2014-01-15T00:37:28Z,2014-01-24T00:37:28Z,1964-01-15,A,F,1597957151,50,9,244444.44444444444,F
1.3,7.33,22.7,36,36.4,4.4,48,139,4.2,125,14.1,13.28,232,3,1,1,1,1,15,0,3,1.6,70,1,2014-01-15T05:25:23Z,2014-01-16T17:25:23Z,1964-01-15,A,F,2662554258,50,1,273437.5,F
2,7.21,28.7,36.1,35.8,16.8,249,146,6.5,81,10.9,10.2,329,47,0,0,0,0,19,1,3,1.7,75,0,2014-01-16T13:04:20Z,2014-02-02T13:04:20Z,1934-01-16,A,M,6486259388,80,17,259515.57093425601,M
1.7,7.36,24.2,35.9,36.7,12.9,130,137,4.9,108,16.5,16.6,143,121.8,1,0,0,0,19,0,10,1.6,60,1,2014-01-16T22:02:56Z,2014-01-17T22:02:56Z,1944-01-16,A,M,6671397643,70,1,234375,M
1.3,7.27,26.2,36.2,38,9.2,268,136,4.5,154,7.5,7.9,187,3,0,1,0,1,9,0,2,1.85,75,1,2014-01-16T15:28:48Z,2014-01-17T03:28:48Z,1974-01-16,A,M,9833939252,40,1,219138.05697589475,M
1.4,7.31,23.1,35,36.1,18.4,540,136,5.6,108,10.9,9.29,498,23.3,1,1,0,1,19,1,7,1.7,95,0,2014-01-17T17:47:31Z,2014-01-24T17:47:31Z,1944-01-17,A,M,9715428827,70,7,328719.723183391,M
1.4,7.35,33.5,35.1,37,6.2,202,134,5.5,151,7.8,6.06,234,8.9,0,0,0,0,17,0,2,1.7,105,1,2014-01-17T11:25:56Z,2014-01-19T23:25:56Z,1944-01-17,A,M,4124468768,70,2,363321.79930795846,M
1,7.39,22.4,35.3,36.5,5.6,73,141,4.7,100,10.4,8.08,321,55,1,0,0,0,8,0,2,1.6,70,1,2014-01-17T06:23:11Z,2014-01-18T06:23:11Z,1994-01-17,A,F,7754272369,20,1,273437.5,F
0.8,7.32,34.1,36.8,34,NA,46,139,3.9,84,18.8,15.3,562,100,0,0,0,0,14,1,4,1.5,50,0,2014-01-19T00:45:34Z,2014-02-03T00:45:34Z,1944-01-19,A,F,6965233230,70,15,222222.22222222222,F
1.1,7.41,15.7,39.1,38.9,11.8,101,135,5,107,11.2,8.94,113,199,0,0,1,0,27,1,2,1.6,65,0,2014-01-18T09:45:37Z,2014-01-21T09:45:37Z,1954-01-18,A,F,2825967572,60,3,253906.25,F
1.6,7.34,20.2,36.3,35.7,9.3,49,110,4.6,158,8.1,5.8,110,5,0,0,0,0,11,1,1,1.8,85,0,2014-01-19T10:21:41Z,2014-01-22T10:21:41Z,1944-01-19,A,M,4333179696,70,3,262345.6790123456,M
1.1,7.498,27.8,35.9,37.1,1.4,57,134,3.9,95,10.1,8,360,7.7,1,0,0,0,0,0,1,1.6,75,0,2014-01-20T04:41:02Z,2014-01-22T04:41:02Z,1954-01-20,A,F,3689943515,60,2,292968.75,F
0.5,7.33,21.9,36.8,37,4.1,60,142,3.9,98,1.9,0.9,204,10.5,0,1,1,0,2,1,1,1.55,80,0,2014-01-20T20:31:03Z,2014-01-22T20:31:03Z,1984-01-20,A,F,5728121217,30,2,332986.4724245578,F
0.9,7.31,14.1,36.7,35.7,43.3,361,145,5.1,110,9.8,8,118,127,1,1,0,1,16,1,7,1.6,115,0,2014-01-20T07:05:54Z,2014-01-23T07:05:54Z,1954-01-20,A,F,5989976798,60,3,449218.75,F
1.2,7.46,23.5,37.7,36.7,6.3,50,139,4.1,101,11.4,6.7,186,33,1,1,1,1,13,0,2,1.7,55,1,2014-01-21T02:35:10Z,2014-01-31T02:35:10Z,1934-01-21,A,F,1163678244,80,10,190311.41868512108,F
1.6,7.399,25.1,37.5,37,9.7,89,141,4.7,159,11.15,10.84,138,98,0,0,0,0,15,1,1,1.6,80,0,2014-01-21T22:35:57Z,2014-01-26T22:35:57Z,1974-01-21,A,F,1636763197,40,5,312500,F
1.2,7.33,26.4,35.1,36.4,12.1,268,139,4.5,71,9.8,10.2,37,7,0,0,0,0,18,0,3,1.65,80,0,2014-01-21T00:25:14Z,2014-01-24T00:25:14Z,1934-01-21,A,F,2876566338,80,3,293847.5665748393,F
1.2,7.37,28.1,35.7,38.4,6.8,125,139,4.8,88,8.5,8,279,98,1,0,0,0,10,0,7,1.6,80,1,2014-01-22T22:28:45Z,2014-01-23T22:28:45Z,1974-01-22,A,F,6432795923,40,1,312500,F
1,7.4,15,37.4,36.8,4.4,40,136,4.5,101,9.94,6.9,264,33,0,0,0,0,13,0,7,1.6,50,1,2014-01-22T13:12:40Z,2014-01-23T13:12:40Z,1984-01-22,A,M,4855771236,30,1,195312.5,M
1,7.33,22.4,36.9,36.8,25.6,361,142,5.3,117,9.8,8.7,103,121.8,0,1,0,0,21,1,2,1.7,70,0,2014-01-24T22:30:30Z,2014-02-08T22:30:30Z,1934-01-24,A,M,9756348879,80,15,242214.5328719723,M
1,7.3,26,35.8,34.7,5,61,140,4.1,142,14.7,13.7,199,2,0,0,0,0,11,0,7,1.75,80,1,2014-01-24T13:59:34Z,2014-01-25T13:59:34Z,1964-01-24,A,M,2979885762,50,1,261224.48979591834,M
1.4,7.42,24.6,36.8,36.6,5.4,87,141,4.5,80,9,7.5,128,4,1,1,0,1,17,0,2,1.55,75,1,2014-01-24T08:47:16Z,2014-01-29T08:47:16Z,1934-01-24,A,F,8166955156,80,5,312174.8178980229,F
1.8,7.34,25.8,35.4,35,NA,138,137,5.5,67,16.1,13.4,4,8.9,1,1,1,1,24,1,2,1.55,65,0,2014-01-25T17:29:14Z,2014-01-26T05:29:14Z,1954-01-25,D,F,6218735680,60,1,270551.5088449532,F
1.4,7.32,22,36.7,36.5,NA,98,134,5.5,92,21.4,18.14,236,84,0,0,0,0,26,0,7,1.55,60,1,2014-01-26T21:05:29Z,2014-01-29T21:05:29Z,1934-01-26,A,F,7986541520,80,3,249739.85431841834,F
1.5,7.36,23.2,36.1,35.5,6.3,48,133,4.3,83,11.6,10.78,268,1,1,0,0,1,12,0,3,1.7,70,1,2014-01-27T00:47:41Z,2014-01-28T00:47:41Z,1944-01-27,A,F,1828223859,70,1,242214.5328719723,F
3.3,7.473,26,36.2,37.1,4.7,64,138,3.4,97,5.5,5.3,221,5,1,1,0,1,12,0,10,1.45,85,0,2014-01-27T12:17:39Z,2014-01-29T12:17:39Z,1934-01-27,A,F,1781464448,80,2,404280.61831153394,F
1.6,7.43,21,36,25,8.8,114,142,5.1,101,8.03,4.61,108,6,0,0,0,0,60,1,2,1.65,60,0,2014-01-27T20:37:35Z,2014-02-16T20:37:35Z,1934-01-27,D,F,3247563946,80,20,220385.67493112944,F
2.5,7.39,14.5,36,36,NA,92,133,4.2,113,14.1,12.64,195,14,0,0,0,0,11,0,3,1.65,85,1,2014-01-28T01:19:51Z,2014-01-30T01:19:51Z,1954-01-28,A,F,9644896920,60,2,312213.0394857667,F
2,7.32,22,36.7,24,8.8,103,139,4.1,121,13.5,11.8,195,0.6,1,0,0,0,12,0,3,1.75,80,1,2014-01-28T17:51:12Z,2014-01-30T17:51:12Z,1944-01-28,A,M,3189726124,70,2,261224.48979591834,M
2.3,7.31,21,37.2,36.3,2.1,136,143,4,116,13.5,11.94,202,85,1,0,1,0,16,0,3,1.7,50,1,2014-01-29T14:48:31Z,2014-01-31T14:48:31Z,1964-01-29,A,M,8339782975,50,2,173010.38062283734,M
2.2,7.3,20.9,36.9,36.8,NA,46,145,3.8,91,21.8,14.15,192,6,0,0,0,0,14,0,3,1.6,50,1,2014-01-29T00:30:24Z,2014-01-31T00:30:24Z,1964-01-29,A,F,3517268550,50,2,195312.5,F
1.3,7.385,24.4,35,37,3.2,68,137,4.2,102,17.1,16.1,799,145,0,0,1,0,16,1,10,1.6,65,0,2014-01-30T09:40:20Z,2014-02-02T09:40:20Z,1944-01-30,A,F,1543577113,70,3,253906.25,F
2.1,7.39,20.1,36.6,36.4,16.4,251,138,6.5,92,16.7,13.2,200,32,1,1,1,1,12,1,7,1.7,90,0,2014-01-30T10:42:19Z,2014-02-05T10:42:19Z,1934-01-30,A,M,8528222683,80,6,311418.6851211072,M
1.4,7.35,22.2,35.7,36.3,5.4,71,137,4.9,103,14.1,12.5,317,4,1,1,1,1,15,0,2,1.7,80,1,2014-01-30T16:16:50Z,2014-02-01T04:16:50Z,1964-01-30,A,M,7962583827,50,2,276816.6089965398,M
1.1,7.34,21.4,36.5,36.3,7.1,72,139,4,150,11.4,11.2,210,146.4,0,0,0,0,8,0,3,1.75,75,1,2014-02-02T22:37:16Z,2014-02-04T22:37:16Z,1944-02-02,A,M,6351616247,70,2,244897.95918367343,M
2.8,7.45,23,36.5,36.5,3.5,67,139,4.7,108,9.9,7.5,306,114,1,0,0,0,14,0,4,1.75,95,1,2014-02-02T20:42:09Z,2014-02-03T20:42:09Z,1944-02-02,A,M,5761869179,70,1,310204.081632653,M
1,7.3,24,36,34.7,7,59,139,3.6,118,11.1,13.8,135,17.4,0,0,0,0,14,0,3,1.55,125,1,2014-02-03T19:57:57Z,2014-02-04T19:57:57Z,1974-02-03,A,M,2299782559,40,1,520291.3631633715,M
1.4,7.3,21.5,36.7,37.4,10.1,158,134,4.5,171,21.8,20.53,163,21,0,0,0,0,8,1,3,1.85,110,0,2014-02-03T18:24:41Z,2014-02-09T18:24:41Z,1964-02-03,A,M,4916332245,50,6,321402.48356464563,M
0.9,7.409,37.2,36.4,36.4,1.1,26,150,3.7,102,19.1,20.2,227,86,1,0,0,0,0,1,8,1.6,80,0,2014-02-03T02:50:01Z,2014-02-23T02:50:01Z,1974-02-03,A,F,5584249858,40,20,312500,F
2.3,7.43,17,36.8,35.5,8.2,102,140,3.6,94,37.24,28.6,184,208,0,0,0,0,12,0,7,1.75,75,0,2014-02-04T00:51:55Z,2014-02-06T12:51:55Z,1934-02-04,A,M,8757946124,80,2,244897.95918367343,M
2.3,7.43,18.8,35.8,36.1,11.4,104,141,5,117,20.5,17.16,258,102,1,0,1,1,16,1,3,1.6,90,0,2014-02-03T12:58:22Z,2014-02-09T12:58:22Z,1954-02-03,A,F,3177249296,60,6,351562.5,F
1.2,7.44,24.1,37.3,36.6,4.3,87,128,4,92,12.5,10.35,172,84,1,1,1,1,24,0,7,1.65,115,1,2014-02-03T07:49:13Z,2014-02-04T07:49:13Z,1934-02-03,A,M,5454759783,80,1,422405.87695133145,M
1.1,7.35,22.2,35.8,36.3,4.7,98,141,4.7,112,10.9,7.2,142,263,1,0,0,0,7,1,1,1.75,80,1,2014-02-03T10:25:41Z,2014-02-08T10:25:41Z,1934-02-03,A,M,9327484657,80,5,261224.48979591834,M
1,7.49,25.2,36.7,35.7,6,54,145,4.2,113,2.9,2.39,82,21,0,0,0,0,18,1,2,1.75,105,0,2014-02-03T07:36:27Z,2014-02-07T07:36:27Z,1944-02-03,A,M,4765312232,70,4,342857.1428571428,M
4.7,7.21,22.4,36.3,36.2,1.4,87,140,4.6,101,6.9,6.9,122,1,1,0,0,0,31,0,2,1.55,80,0,2014-02-03T09:03:24Z,2014-02-14T09:03:24Z,1944-02-03,A,F,6299699272,70,11,332986.4724245578,F
1,7.46,24.6,37.1,35.5,4.1,61,133,3.7,97,8,4.61,276,10,1,0,0,0,12,1,1,1.7,60,0,2014-02-04T19:28:20Z,2014-02-07T07:28:20Z,1964-02-04,A,F,1538527596,50,3,207612.45674740482,F
2.3,7.43,22.5,35.2,36.6,8.7,102,139,3.9,88,14.9,12.2,97,99,1,0,1,0,6,0,1,1.75,75,1,2014-02-04T15:26:29Z,2014-02-07T15:26:29Z,1954-02-04,A,M,6156992863,60,3,244897.95918367343,M
2.7,7.31,20,35.7,37.1,7.9,120,137,4,102,11.6,11.3,173,121,0,0,0,0,14,0,2,1.7,55,1,2014-02-04T10:12:17Z,2014-02-06T10:12:17Z,1934-02-04,A,M,1182517188,80,2,190311.41868512108,M
0.6,7.38,23.2,35.2,33.6,9.7,136,131,5.5,128,6,3.1,199,8,0,0,0,0,10,1,3,1.8,90,0,2014-02-04T11:30:50Z,2014-02-04T23:30:50Z,1954-02-04,A,M,6114825624,60,0,277777.7777777777,M
3.7,7.25,17.2,36.4,36.8,6.2,74,139,4.5,150,14.41,11.09,173,1,0,0,0,0,22,0,2,1.45,60,1,2014-02-05T21:49:13Z,2014-02-10T21:49:13Z,1954-02-05,D,M,7873722333,60,5,285374.5541022593,M
1.2,7.36,24.5,36.7,36.4,6,119,140,5,115,12.5,12,165,39,0,0,0,0,11,0,2,1.8,85,1,2014-02-05T05:45:32Z,2014-02-05T17:45:32Z,1944-02-05,A,M,5995861891,70,0,262345.6790123456,M
4.2,7.28,21.5,38.2,36.7,13.9,238,129,5.3,132,10.1,8.7,103,78,0,0,0,0,0,1,7,1.75,85,0,2014-02-05T23:38:52Z,2014-02-07T11:38:52Z,1974-02-05,A,M,7988285378,40,2,277551.0204081632,M
1.6,7.34,21.7,36.8,36.3,5.4,60,135,5.7,106,8.4,8.8,320,155,1,1,0,1,0,0,7,1.65,85,1,2014-02-05T17:08:32Z,2014-02-06T17:08:32Z,1954-02-05,A,F,9946482843,60,1,312213.0394857667,F
1.6,7.32,21.2,37.2,37.1,19.4,326,132,4.2,108,12.2,10.68,186,47,0,1,1,0,19,0,3,1.8,95,1,2014-02-05T03:09:46Z,2014-02-07T03:09:46Z,1934-02-05,A,M,7525251983,80,2,293209.87654320983,M
1.2,7.37,26.6,37.1,36.1,NA,336,142,5.1,81,4.6,2.9,223,88,0,0,0,0,12,1,1,1.75,75,0,2014-02-05T05:30:02Z,2014-02-14T05:30:02Z,1944-02-05,A,M,9613778810,70,9,244897.95918367343,M
2.9,7.38,20,34.5,36.5,3.2,53,136,3.3,127,8.23,7.54,243,53,0,0,0,0,5,1,1,1.65,70,0,2014-02-06T04:32:18Z,2014-02-07T04:32:18Z,1984-02-06,A,F,9897712453,30,1,257116.62075298437,F
1,7.42,31.6,36.8,36.8,2.3,48,141,3.5,121,6.5,2.9,200,17,0,0,0,0,7,1,1,1.6,100,0,2014-02-06T19:44:10Z,2014-02-14T19:44:10Z,1994-02-06,A,F,9924119983,20,8,390625,F
1.8,7.37,25.2,37,36.2,0.6,79,144,4.4,93,15.2,13.3,130,48.7,1,0,0,1,8,0,2,1.7,70,1,2014-02-06T03:15:59Z,2014-02-12T03:15:59Z,1984-02-06,A,F,7944215455,30,6,242214.5328719723,F
1.6,7.24,12.8,36.2,36.1,12.6,242,138,6.5,105,0.9,0.01,39,8,1,1,1,0,16,0,7,1.8,130,1,2014-02-06T13:24:29Z,2014-02-09T13:24:29Z,1944-02-06,A,F,4285429934,70,3,401234.5679012345,F
1.8,7.4,27.1,33.9,34.7,21.5,90,133,4.2,89,19,20.2,400,242,1,1,1,1,18,1,2,1.8,80,0,2014-02-07T06:16:43Z,2014-02-09T06:16:43Z,1954-02-07,D,M,5834736734,60,2,246913.58024691354,M
3,7.34,22,36.2,37.7,3.6,52,140,3.8,76,10.4,13.8,133,71.1,0,0,0,0,12,1,1,1.7,150,0,2014-02-07T13:44:53Z,2014-02-10T01:44:53Z,1974-02-07,A,F,7855711155,40,3,519031.14186851203,F
1.8,7.4,27.1,36.4,36.5,8.7,61,138,4.1,103,7.6,5.52,110,39,0,0,0,0,15,1,1,1.6,50,0,2014-02-08T00:07:09Z,2014-02-09T00:07:09Z,1944-02-08,A,F,7673845326,70,1,195312.5,F
2.1,7.08,25.6,36.1,36.7,25.6,281,154,4.9,114,7.8,7,215,233,1,1,1,0,17,1,3,1.7,60,0,2014-02-07T23:56:27Z,2014-02-08T23:56:27Z,1934-02-07,A,M,2585238369,80,1,207612.45674740482,M
1.1,7.44,23.6,36.4,36.2,11.1,477,131,3.6,79,11.1,9.4,94,41,1,1,1,0,18,1,1,1.6,80,0,2014-02-07T09:49:50Z,2014-02-19T09:49:50Z,1954-02-07,A,M,9225546335,60,12,312500,M
0.7,7.32,32.9,36.6,35.8,NA,40,141,4.6,6.5,12.5,7.6,570,44,1,0,1,1,14,1,1,1.9,90,0,2014-02-08T00:04:35Z,2014-02-19T00:04:35Z,1974-02-08,A,M,1125373350,40,11,249307.47922437673,M
1,7.37,28.8,36.2,36.6,5.3,55,136,4,104,9.2,7.5,106,1,0,0,0,0,13,0,2,1.6,60,1,2014-02-08T17:09:23Z,2014-02-13T17:09:23Z,1944-02-08,A,F,2567872647,70,5,234375,F
3.8,7.33,16.9,35.7,37,7.6,149,130,4.2,115,6,4.4,335,293,1,0,0,0,71,1,3,1.6,50,0,2014-02-11T13:57:20Z,2014-02-12T01:57:20Z,1944-02-11,A,F,9694934745,70,1,195312.5,F
2.1,7.4,17.6,36.3,36.1,16.9,484,139,6.5,92,15.2,13.2,215,24,1,1,1,0,14,1,7,1.7,65,0,2014-02-12T01:56:22Z,2014-02-16T01:56:22Z,1934-02-12,A,M,3133839217,80,4,224913.49480968856,M
0.8,7.41,26.1,37,37.4,5.8,87,137,3.9,114,15.6,14.01,294,329.9,0,0,0,1,22,1,1,1.75,85,0,2014-02-12T23:36:37Z,2014-02-15T23:36:37Z,1934-02-12,A,M,1948275562,80,3,277551.0204081632,M
1.3,7.38,24.4,35.3,35.5,3.7,63,141,3.9,112,11.8,10.78,192,176,1,1,1,1,13,0,3,1.55,85,1,2014-02-12T01:58:24Z,2014-02-14T01:58:24Z,1954-02-12,A,F,8857299953,60,2,353798.1269510926,F
3.7,7.39,24,36.2,38.7,6.9,193,139,3.6,89,15.8,23.4,260,113,0,0,0,0,15,1,2,1.45,50,0,2014-02-13T07:46:11Z,2014-02-14T19:46:11Z,1984-02-13,A,F,8742727766,30,1,237812.1284185494,F
1.6,7.3,20.2,36,36.4,9.8,123,140,3.7,110,10.8,9.18,108,202,1,0,0,0,13,0,3,1.7,70,1,2014-02-13T06:45:15Z,2014-02-17T18:45:15Z,1944-02-13,D,F,2747398374,70,4,242214.5328719723,F
1.6,7.51,28.7,37.5,37.2,NA,92,142,4.9,63,7.6,6.6,295,98,0,0,0,0,14,1,2,1.8,65,0,2014-02-13T10:05:40Z,2014-02-17T22:05:40Z,1954-02-13,A,M,8656788760,60,4,200617.28395061725,M
1.4,7.44,29,37.2,38,6.5,42,146,3.1,89,16.7,13.4,289,43,1,0,1,0,44,0,3,1.7,100,0,2014-02-14T05:03:32Z,2014-02-15T05:03:32Z,1934-02-14,A,F,1565939794,80,1,346020.7612456747,F
2.3,7.34,21.9,35.8,36.4,7.9,74,138,5.2,103,14.1,12.6,317,107,1,0,1,0,19,0,3,1.65,85,1,2014-02-17T15:39:21Z,2014-02-21T03:39:21Z,1974-02-17,A,M,9132124643,40,4,312213.0394857667,M
1,7.46,26,35.7,35.3,14.6,171,133,3.9,87,8.9,7.63,166,7,1,1,1,1,8,1,7,1.6,70,1,2014-02-17T04:01:19Z,2014-02-17T16:01:19Z,1974-02-17,A,F,3124889479,40,0,273437.5,F
2.3,7.39,23,34.9,36.1,9.7,89,141,4.2,148,16.7,14.9,232,139,0,0,0,0,11,1,2,1.75,90,0,2014-02-19T00:23:40Z,2014-02-22T00:23:40Z,1944-02-19,A,M,4346538215,70,3,293877.5510204081,M
1.7,7.25,20,37,36.6,29.8,643,140,7.4,92,11,10.2,272,38,1,1,0,0,25,1,2,1.65,80,0,2014-02-19T23:20:31Z,2014-02-26T23:20:31Z,1954-02-19,D,F,5988538843,60,7,293847.5665748393,F
4.2,7.19,27.9,36.1,36.1,7,150,145,3.4,113,8.2,4.44,82,39,0,0,0,0,22,0,2,1.7,60,1,2014-02-20T00:11:49Z,2014-02-25T00:11:49Z,1934-02-20,D,M,2428726315,80,5,207612.45674740482,M
5.1,7.49,15.7,36.8,36.6,32.4,547,136,5.8,136,7.7,5.52,136,16,0,1,0,0,17,1,7,1.8,115,0,2014-02-20T03:15:12Z,2014-02-20T03:15:12Z,1934-02-20,A,M,3463312689,80,0,354938.2716049382,M
